Thang,Gia_pho_bien_nhat (tr/m2)
03/2021,20.4
04/2021,20.5
05/2021,20.4
06/2021,19.8
07/2021,19.9
08/2021,18.3
09/2021,20.2
10/2021,21.0
11/2021,22.2
12/2021,21.2
01/2022,22.3
02/2022,20.3
03/2022,22.7
04/2022,23.2
05/2022,23.8
06/2022,24.2
07/2022,26.3
08/2022,26.2
09/2022,24.9
10/2022,25.6
11/2022,29.1
12/2022,32.1
01/2023,26.8
02/2023,27.4
03/2023,31.5
04/2023,35.5
05/2023,36.1
06/2023,36.5
07/2023,30.5
08/2023,33.1
09/2023,38.3
10/2023,40.6
11/2023,41.0
12/2023,42.0
01/2024,42.0
02/2024,42.7
03/2024,39.5
04/2024,43.5
05/2024,49.7
06/2024,51.0
07/2024,52.1
08/2024,54.1
09/2024,51.2
10/2024,52.6
11/2024,53.4
12/2024,52.9
01/2025,55.4
02/2025,53.4
03/2025,53.9
04/2025,55.9
05/2025,57.1
06/2025,57.4
07/2025,59.8
08/2025,61.1
09/2025,64.3
10/2025,70.4
11/2025,69.4
12/2025,72.7
01/2026,76.1
02/2026,83.3
03/2026,80.0
