Quận/Huyện,Giá Bán (tr/m²),Giá Thuê (tr/m²/tháng),Rental Yield (%),Số Tin Thuê,Ghi Chú
Ba Đình,179.6,0.312,2.08,46,Total price / 70m² (46 mẫu)
Bắc Từ Liêm,105.8,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Cầu Giấy,110.5,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Gia Lâm,73.8,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Hai Bà Trưng,112.2,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Hoài Đức,80.0,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Hoàn Kiếm,473.1,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Hoàng Mai,87.3,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Hà Đông,77.1,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Long Biên,89.2,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Nam Từ Liêm,95.7,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Thanh Trì,74.8,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Thanh Xuân,108.6,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Tây Hồ,149.8,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Văn Giang (HY),72.2,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Đan Phượng,67.8,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Đông Anh,121.2,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
Đống Đa,117.1,N/A,N/A,N/A,Không tìm thấy dữ liệu giá thuê
